Role Category,Role Subcategory,Role Hierarchy,Role title,Variants,Role class on Compass,Hierarchy or Location,Line manager to help make the application,"Approval process 
(see 4.5)",Approver,Relevant Commissioner or body,Responsible for induction,"Getting Started requirement for full appointment 
(within 5 months)",Training Obligations,Minimum Membership,Ex Officio Charity Trustee role?sv,Criminal Records Disclosure Check Required?++,Appointment Review Required?
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,County Skills Instructor,None,Trainer,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Area Skills Instructor,None,Trainer,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Country,Northern Ireland Commissioner - Activities,None,Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Country,Northern Ireland Manager of the Activity Permit Scheme,None,Supporter,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and 4 
(Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Country,Country Assessor,Activity & Category,Assessor,"Northern Ireland, Scotland",Country Manager of the Activity Permit Scheme,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Northern Ireland Commissioner - Activities or Scotland Commissioner (Outdoors and Adventure),No requirement,"Module 1 and GDPR recommended (Within 5 months)

Module 25 (Activity Assessors or Scout Show Assessors)
",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout Group,Group Administrator,None,Administrator,Group,Group Chair,3,Group Executive Committee,Group Executive Committee,Group Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout District,District Administrator,None,Administrator,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout District,District Badge Secretary,None,Secretary,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout District,District Explorer Scout Administrator,None,Administrator,District,District Explorer Scout Commissioner,3,District Commissioner or nominee,District Commissioner or nominee,District Explorer Scout Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout District,District Awards Advisory Group Member,None,Committee,District,District Commissioner,3,District Commissioner or nominee,District Commissioner or nominee,District Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout District,District Award Certificate Recipient,None,Administrator,"District
(not Scotland)",District Commissioner,3,District Commissioner or nominee,District Commissioner or nominee,District Commissioner or nominee,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,County Administrator,None,Administrator,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Area Administrator,None,Administrator,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,County Badge Secretary,None,Secretary,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Region (Scotalnd) Badge Secretary,None,Secretary,Scotalnd,Region (Scotland) Chair,3,Region (Scotland) Executive Committee,Region (Scotland) Executive Committee,Region (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,County Queens Scout Award Coordinator,None,Co-ordinator,"England, Northern Ireland",County Commissioner,3,County Commissioner or nominee,County Commissioner or nominee,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Area Queens Scout Award Coordinator,None,Co-ordinator,"Wales, BSO ",Area Commissioner,3,Area Commissioner or nominee,Area Commissioner or nominee,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,County Award Certificate Recipient,None,Committee,"England, Northern Ireland",County Commissioner,3,County Commissioner or nominee,County Commissioner or nominee,County Commissioner or nominee,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Area Award Certificate Recipient,None,Committee,"Wales, BSO ",County Commissioner,3,Area Commissioner or nominee,Area Commissioner or nominee,Area Commissioner or nominee,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Regional Administrator (Scotland),None,Administrator,Scotland,Regional Chair,3,Regional Executive Committee,Regional Executive Committee,Regional Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,County Awards Advisory Group Member,None,Committee,"England, Northern Ireland",County Commissioner,3,County Commissioner or nominee,County Commissioner or nominee,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Area Awards Advisory Group Member,None,Committee,"Wales, BSO",County Commissioner,3,Area Commissioner or nominee,Area Commissioner or nominee,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Scout County or equivalent,Region (Scotland) Awards Advisory Group Member,None,Committee,Scotland,Region Commissioner (Scotland),3,Region Commissioner or nominee (Scotland),Region Commissioner or nominee (Scotland),Region Commissioner or nominee (Scotland),No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,"Scout Region (England, Wales)",Regional Administrator,None,Administrator,"England, Wales",Regional Commissioner,None,Regional Commissioner,Regional Commissioner,Regional Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Countries,HQ Administrator,None,Administrator,Scotland,This is a staff role,,,,,,,,,,
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Headquarters,Social Media Administrator,None,Administrator,UK,UK Commissioner People,4,HQ Appointments Secretary,HQ Appointments Secretary,UK Commissioner People,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Administrators,Headquarters,Large Events Administrator,Name of event,Administrator,UK,Event Lead,4,HQ Appointments Secretary,HQ Appointments Secretary,Event Lead,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,Group,Group Supporter,Quartermaster,Supporter,"England, Northern Ireland",Group Scout Leader,3,Group Executive Committee,Group Scout Leader,Group Scout Leader,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,District,District Supporter,Quartermaster,Supporter,"England, Northern Ireland",District Commissioner,3,District Executive Committee,District Commissioner,District Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,Scout County or equivalent,County Supporter,Quartermaster,Supporter,"England, Northern Ireland",County Commissioner,3,County Executive Committee,County Commissioner,County Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,Scout County or equivalent,Area Supporter,Quartermaster,Supporter,"Wales, BSO",Area Commissioner,3,Area Executive Committee,Area Commissioner,Area Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,Region (England),Regional Supporter,Quartermaster,Supporter,England,Regional Commissioner,1,Regional Commissioner,Regional Commissioner,Regional Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,Countries,Country Volunteer,Wide range of variants on Compass,Supporter,Scotland,Relevant Scotland Commissioner,1,Scottish Appointments Advisory Committee,Relevant Scotland Commissioner,Relevant Scotland Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Administration roles - Supporters,Headquarters,HQ Volunteer,Relevant variants,Supporter,Headquarters,Relevant Team UK member,4,Relevant Team UK member,Relevant Team UK member,Relevant Team UK member,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)
Other training as agreed.",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout District or equivalent,District Training Adviser,"None, or Manager & Supporter",Advisor,"England, Northern Ireland, Wales, BSO",County Training Manager,1,County Appointments Advisory Committee,County Commissioner or nominee,County/Area Training Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (within 5 months) 

Module 25",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout District or equivalent,District Training Adviser,"None, or Manager & Supporter",Advisor,Scotland,Assistant District Commissioner (Adult Training),1,District Appointments Advisory Committee.,District Commissioner or nominee,Assistant District Commissioner (Adult Training),No requirement,"Modules 1, GDPR, Safety, Safeguarding (within 5 months) 

Module 25 ",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout District or equivalent,Assistant District Commissioner (Adult Training),None,Manager,Scotland,District Commissioner,1,District Appointments Advisory Committee.,District Commissioner or nominee,District Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4",[M&S] Wood Badge and First Aid certificate ,Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout District or equivalent,District Training Administrator,None,Administrator,"England, Northern Ireland, Wales, BSO","District Commissioner, in consultation with the County Training Manager",3,District Executive Committee,District Commissioner or nominee,County Training Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)

Module 30",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout District or equivalent,District Training Administrator (Scotland),None,Administrator,Scotland,District Chair,3,District Executive Committee,District Chair,District Secretary,No Requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)

Module 30",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,County Training Manager ,None,Manager,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Area Training Manager ,None,Manager,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Assistant Regional Commissioner (Adult Training),None,Manager,Scotland,Regional Commissioner (Scotland) or nominee,1,Regional Appointments Advisory Committee (Scotland),Regional Commissioner (Scotland) or nominee,Regional Commissioner (Scotland) or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Deputy County Training Manager ,None,Manager,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Deputy Area Training Manager ,None,Manager,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Local Training Manager,None,Manager,"England, Northern Ireland, Wales, BSO",County/Area Training Manager,1,County/Area Appointments Advisory Committee,County/Area Commissioner or nominee,County/Area Training Manager,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Trainer,"(None)
Manager and Supporters
Executive Committees
First Aid
",Trainer,"England, Northern Ireland, Scotland, Wales, BSO",County/Area/Region(Scotland) Training Manager,1,"County/Area/
Region(Scotland) Appointments Advisory Committee","County/Area/
Region(Scotland) Commissioner or nominee","County/Area/
Region(Scotland) Training Manager",No requirement,"Module 1, GDPR, Safety and Safeguarding.
(within 5 months)

Trustee Introduction for Executive Committee Trainers

 One or more of the following modules (depending on role description): Module 27, Module 28, Module 29",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Training Adviser,"(None)
Manager & Supporter
",Advisor,"England, Northern Ireland, Wales, BSO",County/Area Training Manager,1,County/Area Appointments Advisory Committee,County/Area Commissioner or nominee,County/Area Training Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding
(within 5 months)

Module 25",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Regional Training Adviser (Scotland),"(None)
Manager & Supporter
",Advisor,Scotland,Assistant Regional Commissioner (Adult Training),1,Regional Appointments Advisory Committee,Assistant Regional Commissioner (Adult Training),Assistant Regional Commissioner (Adult Training),No requirement,"Modules 1, GDPR, Safety, Safeguarding
(within 5 months)

Module 25",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Local Training Administrator,None,Administrator,"England, Northern Ireland, Wales, BSO",Local Training Manager,1,County Appointments Advisory Committee,County Commissioner or nominee,Local Training Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,County Training Administrator,None,Administrator,"England, Northern Ireland",County Training Manager,3,County Executive Committee,County Commissioner or nominee,County Training Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Area Training Administrator,None,Administrator,"Wales, BSO",Area Training Manager,3,Area Executive Committee,Area Commissioner or nominee,Area Training Manager,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout County or equivalent,Region (Scotland) Training Administrator,None,Administrator,Scotland,Regional Chair,3,Regional Executive Committee,Regional Chair,Regional Secretary,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout Region - England,Assistant Regional Commissioner,Training,Manager,England,Regional Commissioner,Headquarters Search Group Process,UK Headquarters Appointments Advisory Committee,Chief Commissioner of England or nominee,Regional Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout Countries,Training Support Manager - England,None,Manager,England,Volunteer Head of Training and Development,4,UK Headquarters Appointments Advisory Committee,Volunteer Head of Training and Development,Volunteer Head of Training and Development,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout Countries,Scotland Commissioner (Adult Training),None,Manager,Scotland,Chief Commissioner of Scotland,1,Scottish Appointments Advisory Committee,Chief Commissioner for Scotland,Deputy Chief Commissioner - People,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout Countries,Northern Ireland Commissioner (Adult Support),None,Manager,Northern Ireland,Chief Commissioner (Northern Ireland),4,UK Headquarters Appointments Advisory Committee,Chief Commissioner (Northern Ireland),Chief Commissioner (Northern Ireland),"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Adult Training,Scout Countries,Commissioner Wales Adult Training,None,Manager,Wales,Commissioner Wales - People,4,UK Headquarters Appointments Advisory Committee,Commissioner Wales - People,Commissioner Wales - People,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Advisers,Scout Group,Group Adviser,None,Adviser,"Group
(not Scotland)",Group Chair,3,Group Executive Committee,Group Executive Committee,Group Scout Leader,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Advisers,Scout District,District Adviser (except District Nights Away Adviser),Various ,Adviser,District,Relevant Assistant District Commissioner,3,District Executive Committee,District Executive Committee,District Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding  (within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Advisers,Scout County or equivalent,County Adviser,Various ,Adviser,County,Relevant Assistant County Commissioner,3,County Executive Committee,County Executive Committee,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding  (within 5 months)
 
Module 25 (Nights Away Advisers) required for Nights Away Advisers",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Advisers,Scout County or equivalent,Area Adviser,Various ,Adviser,"Wales, BSO",Relevant Assistant County Commissioner,3,County Executive Committee,County Executive Committee,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding  (within 5 months)
 
Module 25 (Nights Away Advisers) required for Nights Away Advisers",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Advisers,Scout County or equivalent,Regional Adviser (Scotland),Various ,Adviser,Scotland,Regional Commissioner or nominee,3,Regional Executive Committee,Regional Executive Committee,Regional Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding  (within 5 months)
Module 25 (Nights Away Advisers) required for Nights Away Advisers",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Advisers,Countries,Country Adviser ,Inclusion,Adviser,Scotland,Chief Commissioner of Scotland,1,Scottish Appointments Advisory Committee,Chief Commissioner or nominee,Chief Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding  (within 5 months)
Module 7 and other modules as agreed with TA",Associate Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout District,Assistant District Commissioner - Beaver Section Support,None, Commissioner,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout District,Assistant District Commissioner - Cub Section Support,None, Commissioner,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout District,Assistant District Commissioner - Scout Section Support,None, Commissioner,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout District,Assistant District Commissioner,Various, Commissioner,"District
 (not Scotland)",District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner - Beaver Support,None, Commissioner,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Area Commissioner - Beaver Support,None, Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner - Cub Support,None, Commissioner,County,County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Area Commissioner - Cub Support,None, Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner - Scout Support,None, Commissioner,County,County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Area Commissioner - Scout Support,None, Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner - Explorer Support,None, Commissioner,County,County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Area Commissioner - Explorer Support,None, Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Regional Commissioner (Scotland) - Explorer Support,None, Commissioner,Scotland,Regional Commissioner (Scotland) or nominee,1,Regional Appointments Advisory Committee (Scotland),Regional Commissioner (Scotland) or nominee,Regional Commissioner (Scotland) or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Regional Commissioner (Scotland) - Network Support,None, Commissioner,Scotland,Regional Commissioner (Scotland) or nominee,1,Regional Appointments Advisory Committee (Scotland),Regional Commissioner (Scotland) or nominee,Regional Commissioner (Scotland) or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner - Network Support,None, Commissioner,County,County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
